id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,quality_binary,index
578,8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5,0,577
579,8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5,0,578
580,10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6,0,579
581,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,0,580
582,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,0,581
583,11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5,0,582
584,12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7,1,583
585,11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7,1,584
586,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,6,0,585
587,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7,1,586
588,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5,0,587
589,5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8,1,588
590,10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7,1,589
591,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,0,590
592,6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,0,591
593,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,0,592
594,9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,5,0,593
595,7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5,0,594
596,8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,5,0,595
597,12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6,0,596
598,11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6,0,597
599,8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6,0,598
600,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,0,599
601,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,4,0,600
602,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,0,601
603,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,0,602
604,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,0,603
605,8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6,0,604
606,8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,6,0,605
607,9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,7,1,606
608,8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6,0,607
609,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,0,608
610,6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6,0,609
611,8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5,0,610
612,13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,0,611
613,7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,6,0,612
614,8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5,0,613
615,9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,6,0,614
616,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,0,615
617,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,0,616
618,11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6,0,617
619,11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5,0,618
620,11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5,0,619
621,8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5,0,620
622,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5,0,621
623,10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,0,622
624,7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6,0,623
625,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,0,624
626,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,0,625
627,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,0,626
628,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,0,627
629,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6,0,628
630,7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5,0,629
631,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6,0,630
632,10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5,0,631
633,7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6,0,632
634,10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4,0,633
635,7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5,0,634
636,8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,5,0,635
637,9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5,0,636
638,9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,5,0,637
639,7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7,1,638
640,8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6,0,639
641,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,0,640
642,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,0,641
643,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,0,642
644,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,0,643
645,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,0,644
646,7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7,1,645
647,7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5,0,646
648,8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4,0,647
649,8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7,1,648
650,6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6,0,649
651,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,0,650
652,9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5,0,651
653,15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,0,652
654,9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6,0,653
655,8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5,0,654
656,9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,0,655
657,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,0,656
658,12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7,1,657
659,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6,0,658
660,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4,0,659
661,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6,0,660
662,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5,0,661
663,7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6,0,662
664,10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6,0,663
665,12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5,0,664
666,9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5,0,665
667,8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,6,0,666
668,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,0,667
669,10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,0,668
670,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,0,669
671,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5,0,670
672,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,0,671
673,9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5,0,672
674,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,0,673
675,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,0,674
676,9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5,0,675
677,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,0,676
678,8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5,0,677
679,8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5,0,678
680,10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5,0,679
681,13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5,0,680
682,8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6,0,681
683,8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5,0,682
684,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,0,683
685,9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5,0,684
686,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,0,685
687,7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5,0,686
688,9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5,0,687
689,7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5,0,688
690,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,0,689
691,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3,0,690
692,9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5,0,691
693,8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5,0,692
694,9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5,0,693
695,9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5,0,694
696,5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,0,695
697,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,0,696
698,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,0,697
699,9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5,0,698
700,11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,6,0,699
701,10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6,0,700
702,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,0,701
703,7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6,0,702
704,7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4,0,703
705,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4,0,704
706,8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,0,705
707,7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5,0,706
708,7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5,0,707
709,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6,0,708
710,9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,6,0,709
711,10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,5,0,710
712,8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5,0,711
713,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5,0,712
714,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,0,713
715,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5,0,714
716,7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,0,715
717,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,0,716
718,7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5,0,717
719,8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,0,718
720,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,0,719
721,8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,0,720
722,8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5,0,721
723,7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5,0,722
724,7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5,0,723
725,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4,0,724
726,9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5,0,725
727,8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6,0,726
728,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,0,727
729,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,0,728
730,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6,0,729
731,9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5,0,730
732,8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5,0,731
733,7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5,0,732
734,7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,5,0,733
735,7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5,0,734
736,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,0,735
737,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,0,736
738,8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,0,737
739,9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,0,738
740,9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5,0,739
741,8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6,0,740
742,9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5,0,741
743,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,0,742
744,11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5,0,743
745,11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5,0,744
746,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,0,745
747,8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6,0,746
748,8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,5,0,747
749,7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6,0,748
750,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,0,749
751,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,0,750
752,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,0,751
753,7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5,0,752
754,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,0,753
755,7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,6,0,754
756,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6,0,755
757,6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,6,0,756
758,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,0,757
759,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,0,758
760,8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5,0,759
761,9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5,0,760
762,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,0,761
763,8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,6,0,762
764,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,0,763
765,9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6,0,764
766,9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6,0,765
767,8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,5,0,766
768,7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5,0,767
769,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,0,768
770,7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5,0,769
771,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,0,770
772,9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5,0,771
773,9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5,0,772
774,7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,6,0,773
775,7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6,0,774
776,7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5,0,775
777,6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6,0,776
778,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6,0,777
779,8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,5,0,778
780,7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5,0,779
781,7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6,0,780
782,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,0,781
783,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,0,782
784,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,0,783
785,7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5,0,784
786,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,0,785
787,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,0,786
788,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,0,787
789,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,0,788
790,8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5,0,789
791,7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6,0,790
792,8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5,0,791
793,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,0,792
794,7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5,0,793
795,10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6,0,794
796,10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5,0,795
797,8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5,0,796
798,9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7,1,797
799,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,0,798
800,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,0,799
801,7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5,0,800
802,8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5,0,801
803,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7,1,802
804,7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6,0,803
805,8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6,0,804
806,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,1,805
807,8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,7,1,806
808,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,1,807
809,7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,0,808
810,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6,0,809
811,7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5,0,810
812,12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6,0,811
813,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,0,812
814,6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4,0,813
815,12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6,0,814
816,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,0,815
817,9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,6,0,816
818,10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6,0,817
819,7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5,0,818
820,9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5,0,819
821,7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5,0,820
822,4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,1,821
823,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,0,822
824,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,0,823
825,7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5,0,824
826,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,0,825
827,7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7,1,826
828,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,0,827
829,7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8,1,828
830,5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,0,829
831,7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4,0,830
832,5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,0,831
833,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,0,832
834,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4,0,833
835,8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,0,834
836,7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5,0,835
837,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,1,836
838,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,1,837
839,10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7,1,838
840,6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5,0,839
841,11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7,1,840
842,6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5,0,841
843,10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6,0,842
844,7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5,0,843
845,9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,0,844
846,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,0,845
847,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,0,846
848,7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6,0,847
849,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,0,848
850,6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5,0,849
851,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,0,850
852,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,0,851
853,8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5,0,852
854,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,0,853
855,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,0,854
856,7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,1,855
857,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,0,856
858,8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7,1,857
859,11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7,1,858
860,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,0,859
861,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,0,860
862,5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6,0,861
863,7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5,0,862
864,7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5,0,863
865,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,0,864
866,7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5,0,865
